LEXEME	REPLACEMENT	COMMENT
nɔŋ.ʣeː ɐŋ.ʣeː	ɐŋ.ʣeː;nɔŋ.ʣeː	semicolon as a separator. Take the form as author suggested 
nɔ̃ː.ʤi ɐ̃ː.ʤi	ɐ̃ː.ʤi;nɔ̃ː.ʤi	semicolon as a separator. Take the form as author suggested 
sɔk.sɔk.gaː.rɐm sɔk.sɔk.di	sɔk.sɔk.gaː.rɐm;sɔk.sɔk.di	semicolon as a separator 
sɔk.sɔk.di sɔk.sɔk.gɔ.rɔm	sɔk.sɔk.di;sɔk.sɔk.gɔ.rɔm	semicolon as a separator
pãː.gu bi.sa sɐj ɛk	sɐj;pãː.gu;bi.sa;ɛk	semicolon as a separator. Take the form as author suggested 
kʰɐm.kʰɐm ɐ.gɔː kʰɐm ɐ.gɔː	kʰɐm.kʰɐm ɐ.gɔː;kʰɐm ɐ.gɔː	semicolon as a separator
 
