Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
.	+	sɔk.sɔk.gaː.rɐm sɔk.sɔk.di, sɔk.sɔk.di sɔk.sɔk.gɔ.rɔm	KusundaK, KusundaGM, Kusunda	100	U+002e
ɐ	ɐ	kʰɐm.kʰɐm ɐ.gɔː kʰɐm ɐ.gɔː, gi.lɐŋ	KusundaK, KusundaGM, Kusunda	100	U+0250
g	g	ɐ.gəj, hɐ.rə.gun	KusundaGM, KusundaK, Kusunda	100	U+0067
u	u	bul.ʦʰum, gu.luŋ	KusundaK, KusundaGM, Kusunda	100	U+0075
_	+	ɐ.t̪aː gi.t̪ɐŋ hur.rə ɐ.gɔː, kʰɐm.kʰɐm ɐ.gɔː kʰɐm ɐ.gɔː	KusundaK, KusundaGM, Kusunda	100	U+005f
i	i	si.sin, gi.naː	KusundaGM, KusundaK, Kusunda	100	U+0069
ə	ə	i.ʣəŋ, jəw	KusundaGM, KusundaK, Kusunda	98	U+0259
ɔː$	ɔː	ip.t̪ɔː, up.t̪ɔː	KusundaK, KusundaGM	84	U+0254 U+02d0 U+0024
aː	aː	jaːq, ʣaː aː.gɔː	KusundaGM, KusundaK	82	U+0061 U+02d0
ɔ	ɔ	gɔ.blɔk, sɔk.sɔk.di sɔk.sɔk.gɔ.rɔm	KusundaGM, KusundaK, Kusunda	79	U+0254
aː$	aː	gi.naː, bɐr.saː	KusundaK, KusundaGM, Kusunda	68	U+0061 U+02d0 U+0024
ŋ	ŋ	huŋ.kəj, liŋ.waː	KusundaGM, KusundaK, Kusunda	66	U+014b
^g	g	gi.naː, gi.lɐŋ	KusundaGM, KusundaK, Kusunda, Duhumbi	66	U+005e U+0067
iː$	iː	i.pi giː, kiː	KusundaK, KusundaGM, Kusunda	61	U+0069 U+02d0 U+0024
k	k	sɔk.sɔk.gaː.rɐm sɔk.sɔk.di, sɔk.sɔk.di sɔk.sɔk.gɔ.rɔm	KusundaGM, KusundaK, Kusunda	51	U+006b
m	m	kʰɐm.kʰɐm ɐ.gɔː kʰɐm ɐ.gɔː, d̪i.miː	KusundaK, KusundaGM, Kusunda	51	U+006d
n$	n	ɐ.hun, si.sin	KusundaGM, KusundaK, Kusunda	51	U+006e U+0024
s	s	si.sin, sɔk.sɔk.gaː.rɐm sɔk.sɔk.di	KusundaK, KusundaGM, Kusunda	48	U+0073
^h	h	hɐ.rə.gun, huŋ.kəj	KusundaK, KusundaGM, Kusunda	45	U+005e U+0068
t̪	t̪	nɐ.t̪.n, ɐ.t̪aː gi.t̪ɐŋ hur.rə ɐ.gɔː	KusundaK, KusundaGM, Kusunda	44	U+0074 U+032a
b	b	gɔ.blɔk, si.baː	KusundaK, KusundaGM, Kusunda	43	U+0062
n	n	gi.naː, mə.niː	KusundaGM, KusundaK, Kusunda	43	U+006e
l	l	gi.lɐŋ, bul.ʦʰum	KusundaGM, Kusunda, KusundaK	42	U+006c
ŋ$	ŋ	gi.lɐŋ, i.ʣəŋ	Kusunda, KusundaGM, KusundaK	42	U+014b U+0024
a	a	jaq, kãː.wər	Kusunda, KusundaK, KusundaGM	40	U+0061
r	r	pʰur.pʰur.t̪ɔː, hɐ.rə.gun	KusundaK, KusundaGM, Kusunda	40	U+0072
^j	j	jaːq, jaq	KusundaGM, Kusunda, KusundaK	40	U+005e U+006a
