ID	Name	Glottocode	Latitude	Longitude	Location	Remark
KusundaGM	Gyani Maiya	kusu1250	28.0	82.26	Dang district	
KusundaK	Kamala	kusu1250	28.0	82.26	Dang district	
ProtoKusunda	Kusunda		29.18	80.63		tentative reconstruction of the proto-form
