ID	ENGLISH	Kusunda	Comments1	Gyani Maiya	Comments2	Kamala	Comments3
1	above	ɐɴ.ʣe	noɴ.ʣe could also be considered for ‘above’ as speakers are not clear which one means ‘above’ and which one ‘on top’	nɔŋ.ʣeː ɐŋ.ʣeː	KGG_030819_A1 ɐŋ.ʣeː ‘above’; nuŋ.ʣeː ~ nɔŋ.ʣeː ‘very up, top’; nɔŋ.ʣe.gəj ‘that above, updem’	nɔ̃ː.ʤi ɐ̃ː.ʤi	KGG_300719_A1 aː.qoː ‘just above’ ~ nɔ̃ː.ʤi ‘above’ ~ ɐ̃ː.ʤi ‘all above / on top’
2	all	swɐ.te		sɐt.t̪eːj		swɐ.t̪eː	‘all, whole, entire’
3	the ant	bi.ki		bi.kiː		biː.kiː	
4	the armpit	ka.kʰi	< NEPकाखिkākhi ‘armpit’	kaː.kʰi	< NEPकाखिkākhi ‘armpit’	kaː.kʰiː	< NEPकाखिkākhi ‘armpit’
5	bad	qo.lum		qɔ.lɔm		qɔː.lum	
6	the bamboo	pɐ.we		pɐ.weːj		pɐ.weːj	
7	the barley (Tibetan or highland)	gi.sa.la	K’s form is taken as original	gi.sə.kə.laː		gi.saː.laː	
8	to be alive	əj.gi		əj.gi aː.gɔː	əj.giː / əj.gi a.gɔː	ə.giː ɐ.gɔː	from əj.giː
9	the belly	ge.mɐt		geː.mɐt̪		geː.mɐt̪	
10	below, under	ɐ.me		ɐ.meːj	ɐ.meːj (below, under); nu.məj (very below, bottom); ɐ.mə.gəj (that below dem.), ; ɐŋ.mə.gəj ‘that down there (dem)’; ɐ.kʰaː ‘down’	ɐ.mə.gaː	ɐ.mə.gaː ‘just below +loc’ < ɐ.meː+ga; nuː.məj ‘far below / at the bottom’; ~ ɐ.qaː ‘down’; aːχ.neː ‘from down’
11	big	bɐ.ʦʰe		bɐ.ʦʰeːj	ɔŋ.nəj ~ uŋ.nəj (senior) ~ bɐ.ʦʰeːj	bɐ.ʧʰiː	‘big in size, important in function’; no comparative superlative degree; uɴ.neː (senior – male) ~ ɔ̃ː.niː ~ ũː.niː < uɴ.ni (senior - female)
12	the bird	qo.tow		qɔ.t̪ɔw	~ qɔ.t̪ɔːKGG_030819_C1	qɔ.t̪uː	
13	to bite	kʰɐm		kʰɐm aː.gɔː		kʰɐm.t̪ɔː	CHEW = kʰɐm.kʰɐm ɐːgɔː
