ID	ENGLISH	Kusunda	Comments1	Gyani Maiya	Comments2	Kamala	Comments3
14	black	sok.sok		sɔk.sɔk.gaː.rɐm sɔk.sɔk.di	sɔk.sɔk.gaː.rɐm (very black) ~ sɔk.sɔk.di (little black)	sɔk.sɔk.di sɔk.sɔk.gɔ.rɔm	‘a little black, dark’ sɔk.gɐ.rɐm ~ sɔk.sɔk.gɔ.rɔm = ‘deep black’
15	the blood	lɐ.pa		lɐ.paː		lɐ.paː	KGG_300719_B1
16	to blow (of wind)	qɐj u	WIND + COME	qɐj uː.gun	WIND + COME; hu. ~ wu.bə a.goː ‘to blow by mouth’ dɐŋ.bəj huː.bə a.goː ‘the shaman to conduct a ritual’, hũː a.gɔː ‘blow to make fire burn’	qɐj	qɐj = AIR; WIND, also BLOW (WIND)! gʲaː qɐj = ‘to breathe’
17	the body hair (hair or fur)	gi		i.pi giː	(hair of head); giː (body hair), also feathers of birds	giː	i.piː HEAD
18	the bone	gu.hu		gu.huː		gu.uː	~ guˁuː ~ guː ~ gu.ɦuː
19	the branch	ji o.moq	TREE + UPPER ARM	iː ɔ.mɔχ	TREE + UPPER ARM	ɔ.mɔq	#ERROR!
20	the breast (female)	ɐm.bu		ɐm.buː		ɐm.buː	KGG_300719_C1 ‘milk, breast’; gi.bu.saː = ‘udder’
21	to burn [intransitive]	huɴ		huŋ aː.gɔː	haː.bɐ.gɐn (to roast); ɐw.daː aː.gɔː (burn the firewood); (ʣaː) kɔ.rɔŋ aː.gɐn ‘(the fire) to burn by itself’; ʣuŋ.ʣaŋ ʣaː ’electric light’ lit. fruit-fire; huŋ aːgɔː ‘burn vi’	hũː.nu	‘the fire burns, is burning with flames’; ʥuŋ.nu ‘something e.g. the wood burns, is burning’; ɐw.dɐw ‘burn vt’
22	to buy	ʣɐk		ʣaː aː.gɔː	ʣaː aː.gɔː - ʣɐk.tuː, realisation of coda -k dependant on the following syllable	ʤɐk ɐ.gɔː	KGG_300719_D1ʤɐːɔː, realisation of coda -k dependant on the following syllable, but commonly unrealised, rising pitch
23	to chew	∅	descriptive, repetition of ‘bite’ = chew	∅	Uday: kʰɐm.kʰɐm aː.gɔː actually ‘to bite repetitive’; newly coined	kʰɐm.kʰɐm ɐ.gɔː kʰɐm ɐ.gɔː	neologism / compound
24	the child (young human)	gə.ʦeː		gə.ʦʰeː	gə.ʦʰeː ‘child (age 8 and above)’; huŋ.kəj ‘child (small kids who walk age 3 - 7)’; tak.seː ‘child (small kids, boys and girls that crawl age 0-2)’; mak.ʦeː ‘adolescent (age 13, 14 and above)’.	gə.ʧeː	huŋ.kuj ~ huŋ.kəj ’child (age 10-14 )’; hũː.kəj ‘child (age 2-10)’; hũŋ.kəj ~ hũːɴ.kun ‘child (toddler age 1-2)’; maʔa̰.ʧeː ~ maˁa.ʧeː ‘adolescent boy (age 14-18)’; us.ni ~ u.ȿin.di ‘adolescent girl (age 14-18)’; gə.ʧeː ‘child (general)’
25	the cloud	bɐm		bɐm	but told by Uday!	bɐm	‘cloud’; pãː.ji ‘cloud’
26	cold (of temperature)	jɐ.ɢɐw	cold of weather / temperature	jɐ.kʰɐw	kʰɐŋ.guː ‘cold (water)’; jɐ.kʰɐw (cold of weather)	jɐ.ɐ̰w	kʰɐŋ.guː ‘cold (of water)’; jɐ.ɐ̰w ‘cold (of weather)’; kʰãũn.tat ‘cold (of food)’; ‘I am feeling cold’ = t̪an.d̪a (to me) jɐ.ɐ̰w; jɐ.ɐ̰w ʧu ‘It is cold’
27	to come	u	ɐ.gaː is an irregularimp. From KGG_100819_A1 and KGG_100819_B1 it becomes clear that the regular root of the verb is u	ɐ.gaː	imp	ɐ.gaː	imp; t̪.u.gun ‘I came’; n.u.g.ɐ̰w ‘you did not come’; t̪.u.ɢɐn ‘I come’; t.u.k.dɐ̰w ‘we are not coming’; t̪.u.t̪.nɐn ‘we will come’; n.u.g.gu ‘you (sg) will not come’
28	correct (right)	wen	#ERROR!	weːj ~ wɛn	#NAME?	wɛːn ~ ɔː.wɛn ~ ɔː.wən	labial approximant or labial  labiodental. Almost like oː.wɛn.
29	to count	pim.ba		pim.baː aː.gɔː		pim.baː ɐ.gɔː	pimbaːɔː
30	to cry (weep)	ʣʰɐm		ʣɐm.tɔː	ʣɐm.ma a.gɔː; ʣɐm.ʣiː	ʤʰɐ.mɔː ~ ʣʰɐ.mɔː	contraction ʤʰɐm ɐ.gɔː
31	dark	∅	concept does not exist, only ‘dusk’ (lit. SUN +NEG.EXIT.COP), midnight, evening etc.	dɐŋ.bwaː	‘extreme darkness, night’; iŋ.ɢa.aw ‘dusk’; is.kiː ‘dusk’; gɔːraːʣeː ‘morning’	ĩːŋ.ɐ̪.aw	< iɴ.ɢa̰.au ‘completely dark’, d̪aŋ.bo ‘midnight, 10-12’, is.kiː ‘evening’, biː.i.t̪in ‘dawn, sunrise’, iɴ.miː.ʤi ‘dusk, sunset’, pʲɔʔ.oː.rɔk ‘morning 7, 8’, ũːŋ.ʧa ‘daytime, 8 to dusk’
32	the daughter	niŋ gə.ʦeː	DAUGHTER (?)+ CHILD	niŋ gə.ʦʰeː	DAUGHTER (?) + CHILD	niŋ.ʧiː	contraction of niŋ + gə.ʧiː DAUGHTER (?) + CHILD
33	the dew	∅	does not exist, new compounds are made based on FALL + WATER, STAY + WATER etc.	∅	tɐŋ ʣɐk.ʣi water + stay i.e. ‘water which has accumulated on / in leaves’	ʤʲun t̪ɐŋ	KGG_310719_A1 lit. FALL + WATER
34	to die	oɢ.da		ɔk.d̪aː	ɔk.daː = die, ɔk.daː aː.gɔː = kill	ɔ̰.d̪aː	‘to die (imp)’, ‘to kill’ ɔ̰ˁ.daː ɐ.gɔː (imp)
35	to dig	mek		mʲɛk.tɔː	mʲɛχ.tɔː, mʲɛʔ aː.gɔː	mʲɛk ɐ.gɔː	~ mʲɛːʔ.ɐɔː
36	dirty	hu.ji.gɐn	hu.jiː = ‘dirt, dust’, also verb ‘be dirty’	huj.gɐn		huj.gɐn	~ huj.ʤiː; hu.jiː = dirt (n), dust
37	the dog	ɐ.gəj		ɐ.gəj	~ aː.gəj	ɐ.gəj	~ aː.gəj
38	the dream	maq		maːχ		maːq	
39	to drink	qɔn		qɔn	~ qɐn	qɔːn ɐ.gɔː	
40	dry	qɐj	actually, root of the verb ‘dry, wither’. No consensus about adj. suffix.	qɐj.gən		qɐj.ʤiː	~ qɐj.u.n ‘became dry’
41	the dust	hu.ji	#NAME?	∅		huj	hu.ji ~ huj ‘dirt, dust’; also: du.loː < NEPधुलोdhulō
42	the ear	jəw		jəw		jəw	
43	early	si.ba		si.baː	~ ʃi.baː	si.baː	
44	the earth (soil)	dum	#NAME?	d̪um	‘soil, earth, mud’; d̪uː ‘land, earth, ground’	d̪um	‘soil, earth, mud’; d̪uː ‘land, earth, ground’
45	the earthworm	aj.ni		aj.niː		əj.niː	~ ɔj.niː
46	to eat	ɐm		ɐm		ɐm ɐ.gɔː	
47	the egg	gwa		gwaː		gwaː	
48	eight	at	< NEPआठāṭh ‘eight’	aːt̪	< NEPआठāṭh ‘eight’	aːt̪	< NEPआठāṭh ‘eight’
49	the eye	i.nəŋ		i.nəŋ		iːŋ	contraction from i.nəŋ
50	far	hun.tow		hun.tɔw	~ hun.tɔː	hun.tuː	~ hun.tɔː ~ hun.tɔw ‘far’, ‘farther’ = hun.tɐw, ‘farthest’ = mə.niː hun.tɐw
51	the father	jej		jɛj		jɛj	
52	the feather	ɐ.hun	#NAME?	ɐ.hun		ɐ.ɦun	#NAME?
53	to fight	li.mu		li.muː aː.gɔː	~ li.muː.ʤiː ‘have a physical fight’; kɔː.kʰɔj aː.gɔː (scold, fight by words, verbal)	li.muː ɐ.tɔː	‘have a physical fight imp.’; qɔj.tɔː ~ qɔj.ʤi ‘scold, have a verbal fight’
54	the fire	ʣa		ʣaː		ʤaː	KGG_310719_B1
55	firewood	dəj.ʣi		d̪ɐ.ʤiː		d̪əj.ʤiː	
56	the fish	nɐ.sa		nɔ.saː		nɐ.saː	
57	five	pa.gu		paː.gu		paː.gɔː	~ paːŋ.gɔː
58	the flea	bul.ʦʰum		bul.ʦʰum		bul.ʦʰum	
59	to float	∅	concept does not exist?	∅		∅	
60	to flow	∅	noun + verb compound WATER + GO	∅		t̪aŋ d̪aː	WATER + GO, MOVE
61	the flower	ge.pan		geː.paːn		geː.pa̰ːn	
62	to fly (move through air)	hu		huː.t̪ɔː	huːʤiː	huː.t̪ɔ	huːʤiː; huː ɐ.gɔː
63	the fog	∅	concept does not exist?	∅	pãɴ.ji?	∅	
64	the foot	jen	#NAME?	jɛn	jɛn LEG = FOOT; a.tɐŋ = ‘footprint’	jɛn	~ ə.jɛːn
65	the forest	gi.lɐŋ		gi.lɐŋ		gi.lɐŋ	
66	to forget	mi		mi aː.gɔː		miː ɐ.gɔː	miː.i.t̪ɔ
67	four	pi.gu		piː.guː		piː.guː	~ piː.gɔː
68	the fox	qa.wəj	act. any kind of wild dog, incl. dhole, wild dog, jackal	qaː.wəj		qaː.wəj	‘any wild dog, jackal, dhole’
69	the frog	bɐm.lu		bɐm.luː		bɐm.luː	~ bɐm.lɔː
70	the front (front side)	pin.da		pin.d̪aː		pin.d̪aː	
71	the frost	jaq	#ERROR!	jaːq	#ERROR!	∅	
72	the fruit	ʣoŋ.ʣɐŋ		ʣɔŋ.ʣɐŋ	KGG_030819_D1	ʤuŋ.ʤɐŋ	#ERROR!
73	full	pʰi.ru.t̪.n		pʰi.ru.t̪ən		pʰi.ru.t̪.n	~ pʰi.run
74	to give	e		eː.gɔː		eː.guː	~ jeː.gu
75	the goat	ɐj.ʣi.ki	also ‘goral’	ɐ.ʣi.kiː		ɐj.ʤi.giː	also ‘goral’
76	good	wen		wɛːn		wɛːn	~ wə.jɛn ~ ɔː.wɛn
77	the grass	∅	concept does not exist, either NEP loan or word derived from Gorkha vocabulary	gaː.zi	but told by Uday, from Gorkha < NEPघाँसghāms ‘grass’ (u.ʧi = thatch)	gʰãːs	< NEPघाँसghāms ‘grass’
78	green	hɐ.rə.gun	< NEPहरियोhariyō ‘green’	hɐ.rə.gun	< NEPहरियोhariyō ‘green’	hɐ.rə.gun	~ hɐ.ru.gun ~ hɔ.ri.jɔː < NEPहरियोhariyō ‘green’
79	the hail	jaq	#ERROR!	jaːq	#ERROR!	jaːq	#ERROR!
80	the hair (of the head)	i.pi gi	#NAME?	i.pi giː	HEAD + HAIR	i.pi giː	lit. HEAD + HAIR
81	the hand	a.wəj		aː.wəj		aː.wəj	~ a.əj ~ ɐj (lower arm)
82	hard	pɐ.sɔw		pɐ.sɔw		pɐ.sɔw	
83	he or she [third person singular]	gi.na	#NAME?	gi.naː	(m / f) (NEP -ni)	gi.naː	
84	the head	i.pi		i.piː		i.piː	
85	to hear	mɐm.bə		mɐm.bə aː.gɔː	~ maː.bɔː	mɐ.bɔː	likely contraction of mɐm.bə ɐ.gɔː
86	the heart	gɔ.blɔk		gɔ.blɔk	~ gɔ.blʲɛχ (= LUNGS)	gɔ.blɔk	
87	heavy	liŋ.wa		liŋ.waː		liŋ.waː	
88	here	təj.sa		t̪əj.saː	tɛj.sa	t̪əj.saː	
89	to hide (conceal)	hʲɔq		hʲɔk aː.goː	~ hʲɔχ.tɔː	hʲɐq ɐ.gɔː	~ hʲɔq ɐ.gɔː
90	high / tall	gʰop.ba		gʰɔχ.baː	< gʰɔq.baː	gʰɔp.baː	rhyme -op thought to be original not -oq
91	to hold	siː		si aː.goː		siː ɐ.gɔː	~ seː ɐ.gɔː ~ si.jɔ ɐ.gɔː
92	the hoof	∅	do not remember	∅		∅	
93	horizontal	∅	concept does not exist?	∅		∅	
94	the horn (keratinized skin)	∅	do not remember	i.pi gi.ʣəŋ	newly coined word, HEAD + BODY	∅	∅
95	the horse	pʰek.sɐm	‘pack animal’	pʰʲɛk.sɐm		pʰʲɛk.sɐm	any pack animal
96	hot	gʰɐ.rɐw	< NEPगरमgāram ‘hot’	gɐ.rɐw	< NEPगरमgāram ‘hot’	gʰɐ.rɔw	(of fire, water), < NEPगरमgāram ‘hot’ puːd̪ (of temperature, sun)
97	the house	wu.hi		wu.hiː		wu.hiː	~ wu.jiː
98	hundred	sɐj	< NEPसयsay ‘one hundred’	səj	< NEPसयsay ‘one hundred’	pãː.gu bi.sa sɐj ɛk	‘five + score’ < NEPबीसbīsa ‘one score, twenty’ < NEPएकसयĒk say ‘one hundred’
99	to hunt	pɐ.də		pɐ.d̪ən aː.gɔː		ɐm.baː pɐ.d̪ə ɐ.gɔː	also: gi.laŋ ɐ.gɔː ‘do the jungle’
100	the husband	du.hi		d̪u.hi		d̪u.hiː	KGG_310719_C1 ~ duj
101	I [first person singular]	ʦi		ʦi		ʧiː	almost like ʃiː
102	the ice	jaq	#ERROR!	jaːq	#ERROR!	jaːq	#ERROR!
103	inside	ɐɴ		ɐ̃.jiː ɐ̃.waː	ɐɴ.ji = INSIDE +gen~ ɐɴ.waː = INSIDE +loc	ɐ̃.waː	< ɐɴ.waː = INSIDE +loc
104	to kill	ɔɢ.da ɐ.go	#ERROR!	ɔk.d̪aː aː.gɔː	DIE + DO	ɔ̰.d̪aː ɐ.gɔː	DIE + DO
105	to knead	ʣɔk		ʣɔk aː.gɔː		ʤɔk ɐ.gɔː	also: ‘to soak clothes’; ʤɔk.tɔː
106	the knee	up.to		up.t̪ɔː		up.t̪ɔː	
107	knife	qo.le		qɔ.leː	~ huŋ.ku qɔ.leː	qɔ.liː	hũŋ.ku qɔ.li ‘small knife’
108	to know (something)	ʦir.ma	act. ‘know, recognise’? Root of ‘know’ is elusive.	ʦir.maː aː.gɔː	KGG_040819_A1 ‘to know, to recognise’	ʦir.maː ɐ.gɔː	#ERROR!
109	the lake	∅	concept does not exist?	∅		∅	
110	late	mɐ.lɐŋ		mɐ.lɐŋ		mɐ.laŋ	~ mɐ.laː
111	to laugh	ni.kʰe	ni thought original	nɐ.kʰeː aː.gɔː		ni.kʰeː ɐ.gɔː	
112	the leaf	haq		haːq		haːq	also ‘page, book’
113	to learn	lɐm.ba		lɐm.baː aː.gɔː		lɐm.baː ɐ.gɔː	
114	left	∅	concept does not exist?	∅		∅	taː ɐ.peː ‘that side’
115	to lick	lɐk		laː aː.gɔː	act. ‘taste’ not ‘lick’	lɐk ɐ.gɔː	~ laː ɐ.gɔː (= ‘taste’); laː.bə ɐ.gɔː ‘bury’; lɐ.buː ɐ.gɔː ‘be angry’; leː ɐ.gɔː ‘sweep’
116	to lie down	mu.roŋ		mɔ.rɔŋ.t̪ɔː		mu.ruŋ.t̪ɔː	
117	light (of weight)	kaɴ.wər		kãː.wər		kãː.wər	
118	the lip (the lips)	∅	concept does not exist?	∅	ɐ.taː giː (moustache, beard)	∅	
119	the liver	i.dow		i.d̪ɔw		i.d̪uː	
120	long	lɐŋ	second syllable uncertain	lɐŋ.kaː	lɐŋ.kaː daŋ.kaː = ‘long stick’	lɐŋ.kɐn	~ ləŋ.kəj which also means ‘cigarette’
121	the louse	kiː		kiː		kiː	
122	the lung	∅	no consensus, may be syn. with HEART?	gu.bɔk	~ gɔ.bɔk	gɔ.bʲɛkʰ	~ gɔ.blɔk ‘heart, lungs’?
123	the man (male human)	du.hi gə.ʦe	HUSBAND + CHILD	d̪uj gə.ʦeː	HUSBAND + CHILD	d̪uj gə.ʧeː	‘male person’; HUSBAND + CHILD; d̪uj.ʤi = shortcut
124	many	mə.ni		mə.niː		mə.niː	
125	to marry (a man marries a woman)	nɐ.bə		nɐ.bə aː.gɔː		nɐ.bə ɐ.gɔː	
126	the meat	ɐm.ba		ɐm.baː		ɐm.baː	
127	middle	gi.ʣat	rhyme -at seen as original	gi.ʣɐχ	< gi.ʣɐq?	gi.ʤaːt̪	
128	the moon	ni.ku		ni.kuː		ni.kuː	
129	morning	∅	compounds / descriptive	gɔː.raː ɐ.ʣeː	‘morning’, bi.hɔ.rɐŋ ‘it has become light’	pʲɛː ɔ.rɔkʰ	biː.t.n (Uday) ~ gɔ.raː ɐ.ʤeː (GM)
130	the mosquito	∅	concept does not exist?	∅		∅	
131	the mother	mɐj		mɐj		məj	
132	the mountain	di.bɐŋ		d̪i.bʲɛŋ	~ di.bɐŋ	d̪i.bɐŋ	
133	the mouse or rat	jɛŋ.gut		jɛŋ.gut̪		jɛŋ.gut̪	~ i.jɛŋ.gut̪
134	the mouth	ɐ.ta		ɐ.t̪aː		ɐ.t̪aː	
135	the mud	dum	#NAME?	d̪um		d̪um	also: ‘soil, earth, mud’; du ‘earth’
136	the nail (fingernail or claw)	ɐw.si		ɐw.siː		ɐw.siː	
137	the name	gi.ʣe		gi.ʣiː		gi.ʤeː	i.maː ‘non-irrigated land’; ‘water channel’ = ʤiː
138	narrow	∅	concept does not exist, use SMALL	∅		∅	#NAME?
139	near	is.ta		is.t̪aː	~ iʃ.taː	is.t̪aː	
140	the neck	hɐŋ.ki		hɐŋ.kiː		hɐŋ.kiː	
141	the needle (for sewing)	ər.ʦʰa		ər.ʦʰaː		ər.ʦʰaː	~ ər.ʦaː; si ɐ.gɔː ‘to sew, to stitch’
142	new	ʣeŋ.n		ʤəŋ.ɔn	< ʤəŋ.n	ʤɛŋ.n	< ʣʲɛŋ.n < ʣʲeŋ.n
143	nine	nɐw	< NEPनौnau ‘nine’	nɐw	< NEPनौnau ‘nine’	nɐw	< NEPनौnau ‘nine’
144	the nit	ʣoɴ.ok		ʤɔŋ.ɔk	~ ʤɔ̃ː.ɔk	ʤɔ̃ː.ɔk	
145	noon	oɴ.ʦa		ɔŋ.ʦaː		ɔ̃ː.ʦaː	
146	the nose	i.now		i.nɔw		i.nuː	
147	old (of person)	dəj.ja		d̪əj.jaː		bu.d̪ʰaː	< NEPबुढोbuḍhō ‘old man’
148	one	qɐs.ti		qɐs.t̪iː	~ kɐs.t̪iː	qɐs.t̪iː	~ qʰɐs.t̪iː
149	the otter	∅	do not remember	∅		∅	
150	outside	baɴ.ʣa		bɐŋ.ʣaː		bãː.ʤaː	~ bãː.ʣaː
151	the pig	hi		hiː		hiː	wild boar = ‘gi.laŋ hiː’ FOREST + PIG
152	to plant (vegetables, rice)	lɐ.bə		lɐ.bə aː.gɔː	#ERROR!	lɐ.bə ɐ.gɔː	#ERROR!
153	to play	li.buŋ		li.buŋ aː.gɔː		li.buŋ.t̪ɔː	
154	to pull	ru		ruː aː.gɔː		ruː ɐ.gɔː	
155	to push	dʰu.sə		d̪u.sə aː.gɔː		d̪ʰu.sə ɐ.gɔː	
156	the rain	tɐŋ	#NAME?	t̪ɐŋ ʣʰaw.ʣiː		t̪ɐŋ ʤi.hun	lit. WATER + FALL
157	the rainbow	∅	concept does not exist?	∅		∅	
158	red	kʰɐ.rə.gun		kʰɐ.rə.gun		kʰɐ.run	contraction of kʰɐ.rə.gun
159	to reside (live)	haɴ		hɐŋ.nuː		hãː.nu	hãː.nu (K) ~ haŋ.nu (GM) < haɴ.nuː ‘sit down’; bʰʲɔŋ.tu
160	the rice plant	si.sin		si.sin		si.sin	KGG_310719_D1
161	right	∅	concept does not exist?	∅		∅	
162	the river	∅	do not remember	∅	am.bʲɛk ‘mango’	∅	
163	the road	un		un		uːn	
164	the root	go.dok		gɔ.dɔk		gɔ.dɔk	
165	the rope	su.ta		su.t̪aː		su.t̪aː	aːt̪ ‘snare, trap’
166	round	gu.luŋ		gu.luŋ	~ gɔ.luŋ	gu.luŋ.di	~ gu.luŋ
167	to run	pʰur.pʰur		pʰur.pʰur.t̪ɔː		pʰur.pʰur.t̪ɔː	
168	the salt	hu.ki		hu.kiː		hu.kiː	
169	salty	hu.ki ɐm	SALT + EAT	hu.ki ɐm		hu.kiː ɐm	SALT + EAT aːm ‘banana’
170	the sand	gə.li		gə.liː		gə.liː	piː ɐ.gɔː ‘uproot’
171	to scratch	∅	no consensus	jɔw.jɔw aː.gɔː		i.wə ɐ.gɔː	
172	the sea	∅	concept does not exist	∅		∅	
173	to see	gɐɴ		gɐŋ.nuː		gɐ̃ː.nu	(K), ~ gɐŋ.nu (GM) < gɐɴ.nu
174	the seed	∅	concept does not exist?	∅		∅	
175	seven	sat	< NEPसातsāt ‘seven’	saːt̪	< NEPसातsāt ‘seven’	saːt̪	< NEPसातsāt ‘seven’
176	sharp	qan		qaːn		qaːn	~ qaː.an
177	the sheep	gʰo.loq		gʰɔ.lɔχ		gʰɔː.lɔq	
178	to shoot (an arrow)	pʰo		pʰɔː aː.gɔ		pʰɔː ɐ.gɔː	tut̪mʲu ‘bow arrow’
179	short	pʰok.tok		pʰɔk.t̪ɔk		pʰɔ.t̪ɔk	
180	the shoulder	∅	do not remember	∅		∅	
181	shy	kʰe		kʰʲɛː		kʰʲɛː ɐ.gɔː	kʰʲɛː ɐ.ʤiː
182	the sickle	ba.kʰa	(also: woodpecker)	baː.kʰaː		baː.kʰa	
183	to sing	mɐŋ.la		mɐŋ.laː aː.gɔː	~ mɐŋ.lɐŋ aːgɔː; SONG + DO	mɐŋ ɐ.gɔː	contraction mɐŋ.lɐŋ < mɐŋ.laː < mɐŋ; lit. SONG + DO
184	six	ʦʰaː	< NEPछcha ‘six’	ʦʰa.gu.d̪aː	< NEPछcha ‘six’	ʦʰaː	< NEPछcha ‘six’
185	the skin	gi.tət		gi.t̪ət̪		gi.t̪ət̪	
186	the sky	∅	do not remember or does not exist?	bɐm	#NAME?	aː.qʰoː	#ERROR!
187	to sleep	ip		ip.t̪ɔː	also: juŋ.tɔː	ip.t̪ɔː	
188	small	huŋ.kəj		huŋ.kəj		huŋ.kəj	~ huŋ.kuj
189	to smell (perceive odor) [transitive]	gən.ʣi		gən.ʣiː aː.gɔː	#ERROR!	gən.ʤi ɐ.gɔː	#ERROR!
190	the smoke	di.mi		d̪i.miː	d̪i.miː u.gun ‘smoke came’	d̪i.miː	
191	smooth	∅	concept does not exist?	∅	∅	∅	
192	the snake	tuk		t̪uː	final /k/ lost?, t̪u.ɦu ‘insect’	t̪uːk	~ tuːʔ
193	the snow	jaq	#ERROR!	jaːχ		jaːq	#ERROR!
194	soft	jo.lɐq		jɔː.lɐχ	pʰʲɛː.lak = flat	jɔː.lɐq	~ i.jɔː.lɐq also ‘sapling’
195	the son	duk.ʦi		d̪uk.ʦiː		d̪uk.ʦiː	
196	the sparrow	∅	concept does not exist or don’t remember?	∅	KGG_040819_A5; KGG_040819_A3	bʰa.ŋeː.raː	< NEPभँगेराbham̐gērā ‘sparrow’
197	the spider	pɐŋ.ga		pɐŋ.gaː	KGG_040819_A4	pɐŋ.gaː	after GM
198	to spit	ɐ.ta gi.tɐŋ hur.rə	#ERROR!	ɐ.t̪aː gi.t̪ɐŋ hur.rə a.gɔː	lit. MOUTH + LIQUID + THROW AWAY	ɐ.t̪aː gi.t̪ɐŋ hur.rə ɐ.gɔː	KGG_010819_A1 lit. MOUTH + LIQUID + THROW AWAY
199	to stand	dʰuŋ		d̪uŋ.t̪ɔː	KGG_040819_C2	d̪ʰuŋ.tɔː	
200	the star	sa.ɢɐm		saː.kʰɐm		saː.ɐ̰m	
201	to steal	ki.la		ki.laː aː.gɔː		ki.laː ɐ.gɔː	
202	the stick	dəŋ.ga		d̪əŋ.ŋaː	ʣiŋ.ŋaː ‘dual’; only attestations of initial ŋ-?	d̪əŋ.gaː	lɐp.tɔː ‘stick (v)’
203	the stone (a piece of)	jeŋ.gu		jɛŋ.guː		jɛŋ.guː	
204	straight	∅	concept does not exist, use descriptive?	∅		ʦaŋ qʰaw	lit. TURNED NEG.COP < ʦaŋ ‘turned, curved, bend’ adjective; ʦu = exist. cop.; qʰaw = neg. exist. cop.
205	the sun	i.jəŋ		i.jəŋ		iːŋ	< contraction of i.jəŋ (cf. also EYE)
206	the tail	suŋ	first syllable is unclear	gu.suŋ		juŋ.suŋ	
207	ten	das	< NEPदसdas ‘ten’	d̪ɐs	< NEPदसdas ‘ten’	d̪ɐːs	< NEPदसdas ‘ten’
208	that	gi.na	#ERROR!	gi.naː		gi.naː	both pron. and dem.
209	there	∅	no consensus	is.naː	‘to there’?; is.taː = ‘near’, naː = ‘this’?	ɐ.pʲɛː	huŋ.qu ɐ.pʲɛː ‘there far away’; ɐ.pʲɛː ‘on that side, across?’, nup.paː = on the other side; ʦap.pʲɛː = on this side
210	thick	gʰəj.ni		gəj.niː		gʰəj.niː	
211	the thigh	o.dok		ɔː.d̪ɔk		ɔː.d̪ɔk	upper leg, jɛn = ‘leg’
212	thin (object)	ke.kʰɐŋ		kʲɛː.kʰɐŋ		kʲɛŋ	contraction < kʲɛː.kʰɐŋ
213	to think (reflect)	im.bə		im.bə aː.gɔː		im.bə ɐ.gɔː	
214	this	na		naː		naː	pron. + dem.; təj.saː = now
215	thou [second person singular]	nu		nuː		nuː	nuː = villager; 2sg
216	three	da.hɐt		daː.hɐt̪		d̪aː	daː ~ daːhɐt ~ daː.ɐt
217	to throw	hur.rə		hur.rə aː.gɔː		hur.rə ɐ.gɔː	
218	the thunder	∅	concept does not exist or don’t remember?	∅		∅	
219	the tiger	meq		mʲɛχ		mʲɛ̰kʰ	~ mʲɛq
220	today	∅	no consensus	t̪ən.din		t̪əj.naː	
221	tomorrow	gu.rɐq		gɔː.rɐkʰ		gu.rɐq	
222	the tongue	i.ʣəŋ		i.ʣəŋ		i.ʣəŋ	~ ɐ.t̪aː gi.ʤəŋ lit. MOUTH + BODY
