ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,Remark
KusundaGM,Gyani Maiya,kusu1250,Kusunda,kgg,Eurasia,28.0,82.26,Kusunda,Dang district,
KusundaK,Kamala,kusu1250,Kusunda,kgg,Eurasia,28.0,82.26,Kusunda,Dang district,
ProtoKusunda,Kusunda,,,,,29.18,80.63,,,tentative reconstruction of the proto-form
